"followers","track_id","artist_popularity","artist_id","album_id","duration_ms","album_name","name","duration_sec","track_name","track_popularity","label","release_date","album_popularity","genre"
"102","4aV08Jor8Uo262tElrTP7j","0","38lNro8138q7aywnmCBDBj","5VjnHZgCwFpqWNiVSQzxs2","221910","Country Sounds & Small Towns","Ethan Jackson","221.91","Permanent Bars","1","Ethan Jackson Music","2022-10-23 00:00:00 UTC","1",""
"24","6zvgP1baFnZQWTskNYk9E1","4","7dYVZLY3M1IGu5Tf5lZBAs","6sPPKS28VINE3wilPNUH0G","87457","Michael Jackson","Yungnudderr","87.457","Michael Jackson","0","3357364 Records DK","2022-04-08 00:00:00 UTC","0",""
"534899","77Hv1qeR2CsbLXBNqUPerD","53","4F5TrtYYxsVM1PhbtISE5m","4lsNuMoDCb89Rso6pGuX0E","221333","華納廿三週年紀念精選系列 - Beyond","Beyond","221.333","爸爸媽媽","21","WM Hong Kong","1992-07-31 00:00:00 UTC","57","c-pop"
"26584415","12aCF5xMof5sLunrEy8SA7","85","1Cs0zKBU1kc0i8ypK3B9ai","4QxCMXQIqWu5IRQXjcGWkN","186328","I'M Good (Blue) [Oliver Heldens Remix]","David Guetta","186.328","I'M Good (Blue) - Oliver Heldens Remix","57","Parlophone UK","2022-10-27 00:00:00 UTC","48","big room"
"876","1MJvPLdxnrb1P6weMSUXVL","33","0UeobiVDEhMVvaUa5fBnbT","3uc39C1q7iGpXcb55y7Hl3","225883","Lullaby Versions Of Radiohead","Rock the Cradle","225.883","My Iron Lung","0","Rock the Cradle","2022-11-18 00:00:00 UTC","1","lullaby"
"6898","1rRbNz537zWcZCSMsiDMQc","42","5OBtjVnJ57P1dGt7sfyYxJ","1QCbHzVucKPatgX9S91efx","128080","Bible Songs For Kids","St. John's Children's Choir","128.08","Holy, Holy, Holy","12","CAS Entertainment","2006-01-01 00:00:00 UTC","35","vbs"
"9","5hQdX4EI7Nqd2qJB8Lg1nw","0","0PYd4qb8r3LdGDn1kFkDut","4dtfqkQEfUmDwYSMsWjxIn","205800","Rihanna","CarlitosWay","205.8","Rihanna","0","CandidatesTheGang","2019-06-13 00:00:00 UTC","0",""
"622","08mvqd6kHZeuGjNeRKfyj7","7","7EPM7qe31fyYvGYz4mHAad","2UmAxJXtvMXjvhckUdaMS3","205061","Nirvana - Tribute To Sam Smith","Pop Legends","205.061","Nirvana","0","Pop Legends","2013-09-23 00:00:00 UTC","0",""
"2316620","0RvXqnatdQsYhioKP2bfko","0","0LyfQWJT6nXafLPZqxe9Of","0YTVWZCnp6lbxf0vS2ZgWb","140906","The Future Looks Brightest - Rarities And Orphans Volume 1","Various Artists","140.906","Oki Dogs","5","Posh Boy Music","2009-10-31 00:00:00 UTC","29",""
"134","3VzbrtbWsHNBamNXA0nkyZ","4","4lCcqn3iBmMNwyuBZkYai0","2D78EmTWZuZYqPWlibFUyN","58847","Minuit","eavy","58.847","L'Autre","0","FutureForward Production","2021-10-08 00:00:00 UTC","0",""
"9","6bRLCg5f5t208eLm8sJcBf","8","5ncsTjoroooElIf5ByofQW","7lhIJb8GFDtEAXCszPOP2i","87943","Embarrass","MarshalOLDS","87.943","Valet","11","SLK Sound","2023-01-13 00:00:00 UTC","19",""
"1358","4AQcrJuM4pZuEB9BTGF4Kl","8","70xVEpgMP5GXlfPHRRP7yI","36dYp7vaY1FXPidPwchQce","164186","Nirvana In Rem","Victoria Vox","164.186","Quest For Love","0","Victoria Vox","2022-04-01 00:00:00 UTC","12","oc indie"
